artistName,trackName,trackPrice,releaseDate,trackExplicitness,primaryGenreName,isStreamable
Bernard Wright,Who Do You Love,1.29,01/01/2011,Not Explicit,Pop,True
Jermaine Stewart,We Don't Have to Take Our Clothes Off,1.29,01/01/1986,Not Explicit,Rock,True
E.U.,Da' Butt,1.29,01/01/1988,Not Explicit,Pop,True
Baltimora,Tarzan Boy,1.29,01/01/1985,Not Explicit,Rock,True
Breathe,Hands to Heaven,1.29,01/01/2010,Not Explicit,Rock,True
Laid Back,White Horse,1.29,01/01/2010,Not Explicit,Rock,True
Limahl,Never Ending Story,1.29,01/01/2010,Not Explicit,Rock,True
Jellybean,Sidewalk Talk,1.29,21/10/1984,Not Explicit,Rock,True
Paul Carrack,Don't Shed a Tear,1.29,01/11/1987,Not Explicit,Rock,True
Chesney Hawkes,The One and Only,1.0503141512152945,01/01/1990,Not Explicit,Rock,True
Delbert McClinton,Giving It Up for Your Love,1.29,01/01/2010,Not Explicit,Rock,True
Partners In Kryme,Turtle Power,1.0503141512152945,01/01/2011,Not Explicit,Rock,True
D.R.S.,Gangsta Lean (Radio Edit),1.0503141512152945,01/01/2011,Not Explicit,Rock,True
Sly Fox,Let's Go All the Way,1.29,01/04/2008,Not Explicit,Pop,True
Studio Artist,"Swing the Mood: In the Mood, Rock Around the Clock, Rock-A-Beatin' Boogie, Tutti Frutti, Wake Up Little Suzie, C'mon Everybody, Hound Dog, Shake, Rattle & Roll, All Shook Up, Jailhouse Rock, At the Ho",1.0503141512152945,10/11/1991,Not Explicit,Pop,True
Industry,State of the Nation,1.29,01/01/2012,Not Explicit,Pop,True
White Town,Your Woman,1.0503141512152945,01/01/1997,Not Explicit,Rock,True
De-Ja,You and Me Tonight,1.29,01/01/2011,Not Explicit,Pop,True
Scarlett & Black,You Don't Know,1.29,01/01/2010,Not Explicit,Rock,True
Amy Holland,How Do I Survive,1.29,01/01/2010,Not Explicit,Rock,True
Jellybean,Who Found Who (feat. Elisa Fiorillo),1.29,01/01/1987,Not Explicit,Pop,True
Robert John,Hey There Lonely Girl,1.29,26/03/2002,Not Explicit,Rock,True
Greg Kihn,Lucky,1.29,01/07/1985,Not Explicit,Rock,True
Bardeux,When We Kiss,1.29,01/01/1988,Not Explicit,Rock,True
Nia Peeples,Street of Dreams,1.0503141512152945,01/01/1992,Not Explicit,Rock,True
Kevin Paige,Don't Shut Me Out,1.29,01/01/1989,Not Explicit,Rock,True
Suave,My Girl,1.29,01/01/1988,Not Explicit,Rock,True
Maria Vidal,Body Rock,1.29,04/09/2009,Not Explicit,Pop,True
Partland Brothers,Soul City,1.29,01/01/1986,Not Explicit,Rock,True
Jim Nabors,"O Come, All Ye Faithful",1.29,01/01/1967,Not Explicit,Christmas,True
Red Rider & Tom Cochrane,White Hot,1.29,01/01/1980,Not Explicit,Rock,True
The Vapors,Turning Japanese,1.29,13/10/2000,Not Explicit,Pop,True
Artist Vs Poet,Anything At All,0.99,25/04/2012,Not Explicit,Pop,False
Thee Midniters,That's All,0.99,25/09/2009,Not Explicit,Rock,True
Blessid Union of Souls,I Believe,1.0503141512152945,01/01/2011,Not Explicit,Rock,True
All the Right Moves & Various Artists,Wasted Youth,0.99,11/11/2008,Not Explicit,Alternative,True
Gavin Christopher,One Step Closer to You,1.29,01/01/2010,Not Explicit,Rock,True
Device,Hanging On a Heart Attack,1.29,01/01/1986,Not Explicit,Rock,True
Nielson & Pearson,If You Should Sail,1.29,01/01/2010,Not Explicit,Rock,True
Breathe,Don't Tell Me Lies,1.29,01/01/1988,Not Explicit,Pop,True
Robbie Patton,Don't Give It Up,1.29,01/01/2012,Not Explicit,Pop,True
Dwight Twilley,Girls,1.29,01/01/2012,Not Explicit,Pop,True
Hugo Montenegro,Hang 'Em High,1.29,24/08/1999,Not Explicit,Soundtrack,True
Soulsister,The Way to Your Heart,1.29,01/09/1988,Not Explicit,Pop,True
Various Artists,All the Men In My Life Keep Getting Killed By Candarian Demons,0.99,03/04/2007,Not Explicit,Soundtrack,True
John Hall Band,Crazy (Keep On Falling),1.29,01/01/1981,Not Explicit,Pop,True
Prism,Don't Let Him Know,1.29,01/12/1981,Not Explicit,Pop,True
All the Right Moves & Various Artists,Pretend,0.99,11/11/2008,Not Explicit,Alternative,True
All the Right Moves & Various Artists,Mona Lisa,0.99,11/11/2008,Not Explicit,Alternative,True
David Lasley,If I Had My Wish Tonight,1.29,01/01/2012,Not Explicit,Pop,True
Rob Jungklas,Make It Mean Something,1.29,01/01/2012,Not Explicit,Pop,True
Todd Rundgren,Bang the Drum All Day,1.29,30/12/1982,Not Explicit,Rock,True
Various Artists,Walk Hard (All-Star Version),1.29,04/12/2007,Not Explicit,Soundtrack,True
All the Right Moves & Various Artists,Dancer,0.99,11/11/2008,Not Explicit,Alternative,True
Korona,Let Me Be,1.29,01/01/2012,Not Explicit,Pop,True
Wendy Moten,Come In Out of the Rain,1.0503141512152945,01/01/1992,Not Explicit,Rock,True
Billy Satellite,Satisfy Me,1.29,01/01/1984,Not Explicit,Pop,True
Jon Butcher Axis,Sounds of Your Voice,1.29,01/01/1985,Not Explicit,Pop,True
Little Steven & The Disciples of Soul,Forever,1.29,01/01/2012,Not Explicit,Pop,True
